"carrier_name","ave_arrivals","ave_delayed","ave_cancelled","ave_diverted","ave_ontime"
"Envoy Air",161306,0.287517715999408,7543,400.5,0.712482284000592
"Northwest Airlines Inc.",414526,0.282949682287721,7814,840,0.717050317712279
"Spirit Air Lines",8743,0.268328948873384,98,13,0.731671051126616
"JetBlue Airways",174558.875,0.243916727407408,2505,551.25,0.756083272592592
"Mesa Airlines Inc.",299563,0.231141420273956,10415.5,568,0.768858579726044
